Brand/Model,Description,prices
Dell Vostro 5481 8th gen i5,"Your work looks greatTwo-sided narrow border: With thin side borders, it's easier to focus on the sc..","                           Rs.84,800.00
                                                 "
Dell Vostro 5481 8th gen i7,"Your work looks greatTwo-sided narrow border: With thin side borders, it's easier to focus on the sc..","                           Rs.128,800.00
                                                 "
Dell Vostro 5581 8th Gen i7,"Your work looks greatTwo-sided narrow border: With thin side borders, it's easier to focus on the sc..","                           Rs.112,800.00
                                                 "
Dell-Precision-5520,"Head-turning mobilityOn the world’s thinnest and lightest mobile workstation, performance has never ..","                           Rs.208,800.00
                                                 "
HP ELITEBOOK 820 G3 i5,Intel Core i5 with vPro and Core i7 with vPro technology is a selectable feature that is available o..,"                           Rs.78,800.00
                                                 "
HP ELITEBOOK 820 G3 i7,Intel Core i5 with vPro and Core i7 with vPro technology is a selectable feature that is available o..,"                           Rs.92,800.00
                                                 "
Acer ASPIRE 7 i7 ,Designed for PortabilityThis stylish laptop is designed to be at your side wherever you go. The slee..,"                           Rs.126,800.00
                                                 "
Acer Nitro 5 9th Gen i7,"Intel 9th Gen Core i7-9750H (2.60 GHz)NVIDIA GeForce GTX 1650 4 GB GDDR58 GB Memory256 GB SSD15.6"" 1..","                           Rs.124,800.00
                                                 "
Acer Predator Helios 300 2019 9th gen,Intel Core i7 9th Gen 9750H (2.60 GHz)16 GB Memory 256GB SSD M.2 NVME GeForce GTX 1660 Ti ..,"                           Rs.168,800.00
                                                 "
Acer Predator Helios 300 i7,"Acer Predator Helios 300 Designed for those with a need to speed, the Predator Helios 300 gaming not..","                           Rs.138,800.00
                                                 "
Acer Predator Triton 500 ,"infused with an 8th Gen Intel® Core™ i7 Processor1 and GeForce RTX™ 2060, this laptop was forged to ..","                           Rs.186,800.00
                                                 "
Acer Swift 7,"Now That’s ThinBehold the thinnest1 laptop on the market. At just 8.98mm thin, you won’t believe you..","                           Rs.132,800.00
                                                 "
ALIENWARE AREA-51M RTX 2070 OC,CONSIDER THE GAME CHANGEDThe Alienware Area-51m is unlike any mobile gaming machine ever created. Wi..,"                           Rs.432,800.00
                                                 "
Alienware M15 ,TRAVEL LIGHT. TRIUMPH BIG.The new Alienware m15 is more than just the latest in on-the-go gaming. It..,"                           Rs.178,800.00
                                                 "
ASUS ROG 9th Gen I7,ASUS ROG G531GT Laptop: Game like a pro with this ASUS laptop. A powerful Intel Core i7 processor an..,"                           Rs.130,800.00
                                                 "
ASUS ROG Strix Hero II ,ASUS ROG Strix Hero II Gaming LaptopPacking 8th Gen Intel Core i7-8750H processor and NVIDIA GeForce..,"                           Rs.164,800.00
                                                 "
ASUS ROG Strix SCAR ,"ROG Strix SCAR II sharpens your PC gaming experience, starting with the display. Its 144Hz narrow-be..","                           Rs.205,800.00
                                                 "
ASUS ROG Strix Scar II i7 RTX 2070 144Hz ,ASUS ROG Strix Scar II GL504GW-DS74Intel Core i7-8750H Hexa-Core Processor16 GB DDR4 2666 MHz 5..,"                           Rs.248,800.00
                                                 "
ASUS ROG Zephyrus G,ROG Zephyrus G GA502 Ultra-slim GamingAttain Ultra-slim GamingThe all-new ROG Zephyrus G deftly bala..,"                           Rs.156,800.00
                                                 "
ASUS ROG Zephyrus S Ultra Slim,"ROG Zephyrus SWhatever a perfect gaming laptop in your imagination looks like, the ASUS ROG Zephyrus..","                           Rs.210,800.00
                                                 "
ASUS TUF i5 9th gen ,"ASUS TUF FX505GT NotebookIntel Core i5-9300H 2.40 - 4.1GHz8GB DDR4 RAM512GB NVMe SSD 15.6"" FHD ..","                           Rs.105,800.00
                                                 "
ASUS ZenBook 15  8th gen i7 16GB 1TB SSD ,Intel Core i7-8565U Processor 1.8GHz16GB DDR4 RAM1TB PCIe® 3.0 x4 SSD15.6” LED-backlit FHD (1920 x 1..,"                           Rs.164,800.00
                                                 "
ASUS ZENBOOK FLIP i7 8th Gen 16GB 512 GB SSD ,"Intel Core i7-8565U Processor 1.8GHz16GB LPDDR3 RAM512GB Solid State Drive14"" Full HD Wideview Ultra..","                           Rs.134,800.00
                                                 "
Dell Alienware 13R3 i7,METICULOUSLY DESIGNED TO DELIVER A KNOCKOUT PERFORMANCEThe Alienware 13 features up to 7th Gen Intel..,"                           Rs.160,800.00
                                                 "
Dell Alienware 15 R4 8th Gen i7 ,METICULOUSLY DESIGNED TO DELIVER A KNOCKOUT PERFORMANCEThe Alienware 15 features up to 8th Gen Intel..,"                           Rs.190,800.00
                                                 "
Dell ALIENWARE 17 R5 i9,"Dell ALIENWARE 17 R5 i9i9-8950HK (6Core, 12MB Cache up to 5.0GHZ)16GB DDR4 256GB SSD + 1TB HDD&..","                           Rs.270,800.00
                                                 "
Dell ALIENWARE 17R5 ,"Dell ALIENWARE 17 R5 i7 8750H 16GB RAM 256GB SSD + 1TB HDD 17.3 "" FULL HD IPS&nb..","                           Rs.225,800.00
                                                 "
Dell ALIENWARE M17 9th Gen RTX 2070 ,"Dell ALIENWARE M17i7 9750H16GB RAM 512GB SSD + 1TB HDD17.3"" UHD (3840 x 2160) 60Hz I PS, 400-ni..","                           Rs.318,800.00
                                                 "
Dell ALIENWARE M17 i9 4K RTX 2080 ,"Dell ALIENWARE M17i9-8950HK 32GB RAM 1TB PCIe M.2 SSD + 1TB PCIe M. 2 SSD17.3"" UHD (3840 x..","                           Rs.460,000.00
                                                 "
DELL G3 3590 i5 9300H 9th gen GTX 1660Ti 6GB,9th Generation Intel Core i5-9300H processor (up to 4.1GHz)8GB DD4 RAM512GB NVMe Solid State DriveNV..,"                           Rs.124,800.00
                                                 "
Dell G5 i7 8th,"Dell GamingDell gaming machines are engineered with the specific, demanding needs of the gaming audi..","                           Rs.122,800.00
                                                 "
Dell G5 i7 9th Gen,Visualize the victorySee what your game is capable of with the powerhouse NVIDIA® GeForce RTX™ 20-se..,"                           Rs.164,800.00
                                                 "
Dell G7 15 i7 8th Gen,"Dell GamingDell gaming machines are engineered with the specific, demanding needs of the gaming audi..","                           Rs.162,800.00
                                                 "
Dell G7 7590,Lead the packA surprisingly slim and sleeker-than-ever design. Premium metal finish. An outstanding ..,"                           Rs.170,800.00
                                                 "
Dell G7 7590 144Hz,Lead the packA surprisingly slim and sleeker-than-ever design. Premium metal finish. An outstanding ..,"                           Rs.210,800.00
                                                 "
Dell G7 i7 ,"Dell GamingDell gaming machines are engineered with the specific, demanding needs of the gaming audi..","                           Rs.144,800.00
                                                 "
Dell inspiron 3476 i7,The ultimate personal theatre experience.Entertainment the way it was intended.CinemaSound: Waves Ma..,"                           Rs.78,800.00
                                                 "
Dell Inspiron 3480,"8th Generation Intel® Core™ i3-8145U, 4 MB Cache, up to 3.9 GHzIntel® HD graphics 620 with shared gr..","                           Rs.48,800.00
                                                 "
Dell Inspiron 3580 8th gen i3,"8th Generation Intel® Core™ i3-8145U, 4 MB Cache, up to 3.9 GHzIntel® HD graphics 620 with shared gr..","                           Rs.52,800.00
                                                 "
Dell inspiron 3583 i5 8th gen,"8th Generation Intel Core i5-8265U Processor (6MB Cache, up to 3.9 GHz),Intel® HD graphics 620 with ..","                           Rs.64,800.00
                                                 "
Dell inspiron 3583 i7 8th gen,"Intel 8th Generation Core i7-8565U (8MB Cache, 1.8 Ghz to 4.60 GHz)Intel® HD graphics 620 with share..","                           Rs.78,800.00
                                                 "
Dell inspiron 3593 10th Gen i5,"10th gen Intel® Core™ i5-1035G1 Processor 6M Cache, up to 3.60 GHzIntel® HD graphics 620 with shared..","                           Rs.80,800.00
                                                 "
Dell inspiron 5567 i7,"Created to complement you.Grab and go: Your Inspiron is crafted to be portable, so you can stay prod..","                           Rs.84,800.00
                                                 "
Dell Inspiron 5770 8th Gen i7,"Fully immersive, completely impressiveClarity on display: Enjoy the crisp detail of a 17.3"" HD+ or a..","                           Rs.120,800.00
                                                 "
Dell Inspiron 7573,"The ultimate personal theater experienceIntroducing Dell Cinema with incredible color, sound and str..","                           Rs.90,800.00
                                                 "
Dell XPS  13 9365 i7 8th Gen,"Real wonder.The revolutionary InfinityEdge display is now available for the first time on a 2-in-1, ..","                           Rs.170,800.00
                                                 "
Dell XPS  13 9365 QHD i5 ,"Real wonder.The revolutionary InfinityEdge display is now available for the first time on a 2-in-1, ..","                           Rs.122,800.00
                                                 "
Dell XPS 13  9360 i7 ,"The ultimate personal theater experienceIntroducing Dell Cinema with incredible color, sound and str..","                           Rs.165,800.00
                                                 "
Dell XPS 13  9360 i7 1TB SSD ,"The ultimate personal theater experienceIntroducing Dell Cinema with incredible color, sound and str..","                           Rs.185,800.00
                                                 "
Dell XPS 13  9370 i5 ,"The ultimate personal theater experienceIntroducing Dell Cinema with incredible color, sound and str..","                           Rs.122,800.00
                                                 "
